2022-09-16 07:40:15.833305, sleeping
2022-09-16 07:40:45.834021, sleeping
2022-09-16 07:50:15.847624, sleeping
2022-09-16 07:50:45.848340, sleeping
2022-09-16 08:00:15.861942, sleeping
2022-09-16 08:00:45.862658, sleeping
2022-09-16 08:10:15.876261, sleeping
2022-09-16 08:10:45.876977, sleeping
2022-09-16 08:20:15.890580, sleeping
2022-09-16 08:20:45.891296, sleeping
2022-09-16 08:30:15.904899, sleeping
2022-09-16 08:30:45.905615, sleeping
2022-09-16 08:40:15.919218, sleeping
2022-09-16 08:40:45.919934, sleeping
2022-09-16 08:50:15.933537, sleeping
2022-09-16 08:50:45.934253, sleeping
2022-09-16 09:00:15.947856, sleeping
2022-09-16 09:00:45.948572, sleeping
2022-09-16 09:10:15.962174, sleeping
2022-09-16 09:10:45.962890, sleeping
2022-09-16 09:20:15.976493, sleeping
2022-09-16 09:20:45.977209, sleeping
2022-09-16 09:30:15.990812, sleeping
2022-09-16 09:30:45.991528, sleeping
2022-09-16 09:40:16.005131, sleeping
2022-09-16 09:40:46.005847, sleeping
2022-09-16 09:50:16.019450, sleeping
2022-09-16 09:50:46.020166, sleeping
2022-09-16 10:00:16.033769, sleeping
2022-09-16 10:00:46.034485, sleeping
2022-09-16 10:10:16.048088, sleeping
2022-09-16 10:10:46.048804, sleeping
2022-09-16 10:20:16.062406, sleeping
2022-09-16 10:20:46.063122, sleeping
2022-09-16 10:30:16.076725, sleeping
2022-09-16 10:30:46.077441, sleeping
2022-09-16 10:40:16.091044, sleeping
2022-09-16 10:40:46.091760, sleeping
2022-09-16 10:50:16.105363, sleeping
2022-09-16 10:50:46.106079, sleeping
2022-09-16 11:00:16.491703, sleeping
2022-09-16 11:00:46.492419, sleeping
2022-09-16 11:10:16.506022, sleeping
2022-09-16 11:10:46.506738, sleeping
2022-09-16 11:20:16.520341, sleeping
2022-09-16 11:20:46.521057, sleeping
2022-09-16 11:30:16.534660, sleeping
2022-09-16 11:30:46.535376, sleeping
2022-09-16 11:40:16.548979, sleeping
2022-09-16 11:40:46.549694, sleeping
2022-09-16 11:50:16.563297, sleeping
2022-09-16 11:50:46.564013, sleeping
2022-09-16 12:00:16.577616, sleeping
2022-09-16 12:00:46.578332, sleeping
2022-09-16 12:10:16.591935, sleeping
2022-09-16 12:10:46.592651, sleeping
2022-09-16 12:20:16.606254, sleeping
2022-09-16 12:20:46.606970, sleeping
2022-09-16 12:30:16.620573, sleeping
2022-09-16 12:30:46.621289, sleeping
2022-09-16 12:40:16.634892, sleeping
2022-09-16 12:40:46.635608, sleeping
2022-09-16 12:50:16.649211, sleeping
2022-09-16 12:50:46.649926, sleeping
2022-09-16 13:00:16.663529, sleeping
2022-09-16 13:00:46.664245, sleeping
2022-09-16 13:10:16.677848, sleeping
2022-09-16 13:10:46.678564, sleeping
2022-09-16 13:20:16.692167, sleeping
2022-09-16 13:20:46.692883, sleeping
2022-09-16 13:30:16.706486, sleeping
2022-09-16 13:30:46.707202, sleeping
2022-09-16 13:40:16.720805, sleeping
2022-09-16 13:40:46.721521, sleeping
2022-09-16 13:50:16.735124, sleeping
2022-09-16 13:50:46.735840, sleeping
2022-09-16 14:00:16.749443, sleeping
2022-09-16 14:00:46.750158, sleeping
2022-09-16 14:10:16.763761, sleeping
2022-09-16 14:10:46.764477, sleeping
2022-09-16 14:20:16.778080, sleeping
2022-09-16 14:20:46.778796, sleeping
2022-09-16 14:30:16.792399, sleeping
2022-09-16 14:30:46.793115, sleeping
2022-09-16 14:40:16.806718, sleeping
2022-09-16 14:40:46.807434, sleeping
2022-09-16 14:50:16.827037, sleeping
2022-09-16 14:50:46.827753, sleeping
2022-09-16 15:00:16.841356, sleeping
2022-09-16 15:00:46.842072, sleeping
2022-09-16 15:10:16.855675, sleeping
2022-09-16 15:10:46.856391, sleeping
2022-09-16 15:20:16.869994, sleeping
2022-09-16 15:20:46.870710, sleeping
2022-09-16 15:30:16.884313, sleeping
2022-09-16 15:30:46.885029, sleeping
2022-09-16 15:40:16.898631, sleeping
2022-09-16 15:40:46.899347, sleeping
2022-09-16 15:50:16.912950, sleeping
2022-09-16 15:50:46.913666, sleeping
2022-09-16 16:00:16.927269, sleeping
2022-09-16 16:00:46.927985, sleeping
2022-09-16 16:20:18.356987, sleeping
2022-09-16 16:20:48.358703, sleeping
2022-09-16 16:30:18.372306, sleeping
2022-09-16 16:30:48.373022, sleeping
2022-09-16 16:40:18.386625, sleeping
2022-09-16 16:40:48.387341, sleeping
2022-09-16 16:50:18.400944, sleeping
2022-09-16 16:50:48.401660, sleeping
2022-09-16 17:00:18.444264, sleeping
2022-09-16 17:00:48.444980, sleeping
2022-09-16 17:10:18.494585, sleeping
2022-09-16 17:10:48.500301, sleeping
2022-09-16 17:20:18.554907, sleeping
2022-09-16 17:20:48.555622, sleeping
2022-09-16 17:30:18.754236, sleeping
2022-09-16 17:30:48.754952, sleeping
2022-09-16 17:40:18.772555, sleeping
2022-09-16 17:40:48.773271, sleeping
2022-09-16 17:50:18.786874, sleeping
2022-09-16 17:50:48.787590, sleeping
2022-09-16 18:00:18.802193, sleeping
2022-09-16 18:00:48.802909, sleeping
2022-09-16 18:10:18.816512, sleeping
2022-09-16 18:10:48.817228, sleeping
2022-09-16 18:20:18.830831, sleeping
2022-09-16 18:20:48.831546, sleeping
2022-09-16 18:30:18.845149, sleeping
2022-09-16 18:30:48.845865, sleeping
2022-09-16 18:40:18.859468, sleeping
2022-09-16 18:40:48.860184, sleeping
2022-09-16 18:50:18.873787, sleeping
2022-09-16 18:50:48.874503, sleeping
2022-09-16 19:00:18.888106, sleeping
2022-09-16 19:00:48.888822, sleeping
2022-09-16 19:10:18.902425, sleeping
2022-09-16 19:10:48.903141, sleeping
2022-09-16 19:20:18.916744, sleeping
2022-09-16 19:20:48.917460, sleeping
2022-09-16 19:30:18.931063, sleeping
2022-09-16 19:30:48.931778, sleeping
2022-09-16 19:40:18.945381, sleeping
2022-09-16 19:40:48.946097, sleeping
2022-09-16 19:50:18.959700, sleeping
2022-09-16 19:50:48.960416, sleeping
2022-09-16 20:00:18.974019, sleeping
2022-09-16 20:00:48.974735, sleeping
2022-09-16 20:10:18.988338, sleeping
2022-09-16 20:10:48.989054, sleeping
2022-09-16 20:20:19.002657, sleeping
2022-09-16 20:20:49.003373, sleeping
2022-09-16 20:30:19.016976, sleeping
2022-09-16 20:30:49.017692, sleeping
2022-09-16 20:40:19.031295, sleeping
2022-09-16 20:40:49.032010, sleeping
2022-09-16 20:50:19.045613, sleeping
2022-09-16 20:50:49.046329, sleeping
2022-09-16 21:00:19.059932, sleeping
2022-09-16 21:00:49.060648, sleeping
2022-09-16 21:10:19.074251, sleeping
2022-09-16 21:10:49.074967, sleeping
2022-09-16 21:20:19.088570, sleeping
2022-09-16 21:20:49.089286, sleeping
2022-09-16 21:30:19.102889, sleeping
2022-09-16 21:30:49.103605, sleeping
2022-09-16 21:40:19.117208, sleeping
2022-09-16 21:40:49.117924, sleeping
2022-09-16 21:50:19.135527, sleeping
2022-09-16 21:50:49.136243, sleeping
2022-09-16 22:00:19.149846, sleeping
2022-09-16 22:00:49.150562, sleeping
2022-09-16 22:10:19.164164, sleeping
2022-09-16 22:10:49.164880, sleeping
2022-09-16 22:20:19.178483, sleeping
2022-09-16 22:20:49.179199, sleeping
2022-09-16 22:30:19.192802, sleeping
2022-09-16 22:30:49.193518, sleeping
2022-09-16 22:40:19.207121, sleeping
2022-09-16 22:40:49.207837, sleeping
2022-09-16 22:50:19.221440, sleeping
2022-09-16 22:50:49.222156, sleeping
2022-09-16 23:00:19.235759, sleeping
2022-09-16 23:00:49.236475, sleeping
2022-09-16 23:10:19.250078, sleeping
2022-09-16 23:10:49.250794, sleeping
2022-09-16 23:20:19.264396, sleeping
2022-09-16 23:20:49.265112, sleeping
2022-09-16 23:30:19.278715, sleeping
2022-09-16 23:30:49.279431, sleeping
2022-09-16 23:40:19.293034, sleeping
2022-09-16 23:40:49.293750, sleeping
2022-09-16 23:50:19.307353, sleeping
2022-09-16 23:50:49.308069, sleeping
2022-09-17 00:00:19.321672, HK Weekend
2022-09-17 00:00:49.322388, HK Weekend
2022-09-17 00:10:19.335991, HK Weekend
2022-09-17 00:10:49.336707, HK Weekend
2022-09-17 00:20:19.350310, HK Weekend
2022-09-17 00:20:49.351026, HK Weekend
2022-09-17 00:30:19.364628, HK Weekend
2022-09-17 00:30:49.365344, HK Weekend
2022-09-17 00:40:19.378947, HK Weekend
2022-09-17 00:40:49.379663, HK Weekend
2022-09-17 00:50:19.394266, HK Weekend
2022-09-17 00:50:49.394982, HK Weekend
2022-09-17 01:00:19.408585, HK Weekend
2022-09-17 01:00:49.409301, HK Weekend
2022-09-17 01:10:19.422904, HK Weekend
2022-09-17 01:10:49.423620, HK Weekend
2022-09-17 01:20:19.437223, HK Weekend
2022-09-17 01:20:49.437939, HK Weekend
2022-09-17 01:30:19.451542, HK Weekend
2022-09-17 01:30:49.452258, HK Weekend
2022-09-17 01:40:19.465860, HK Weekend
2022-09-17 01:40:49.466576, HK Weekend
2022-09-17 01:50:19.480179, HK Weekend
2022-09-17 01:50:49.480895, HK Weekend
2022-09-17 02:00:19.494498, HK Weekend
2022-09-17 02:00:49.495214, HK Weekend
2022-09-17 02:10:19.508817, HK Weekend
2022-09-17 02:10:49.509533, HK Weekend
2022-09-17 02:20:19.523136, HK Weekend
2022-09-17 02:20:49.523852, HK Weekend
2022-09-17 02:30:19.537455, HK Weekend
2022-09-17 02:30:49.538171, HK Weekend
2022-09-17 02:40:19.551774, HK Weekend
2022-09-17 02:40:49.552490, HK Weekend
2022-09-17 02:50:19.566092, HK Weekend
2022-09-17 02:50:49.566808, HK Weekend
2022-09-17 03:00:19.580411, HK Weekend
2022-09-17 03:00:49.581127, HK Weekend
2022-09-17 03:10:19.594730, HK Weekend
2022-09-17 03:10:49.595446, HK Weekend
2022-09-17 03:20:19.609049, HK Weekend
2022-09-17 03:20:49.609765, HK Weekend
2022-09-17 03:30:19.623368, HK Weekend
2022-09-17 03:30:49.624084, HK Weekend
2022-09-17 03:40:19.637687, HK Weekend
2022-09-17 03:40:49.638403, HK Weekend
2022-09-17 03:50:19.652006, HK Weekend
2022-09-17 03:50:49.652722, HK Weekend
2022-09-17 04:00:19.666324, HK Weekend
2022-09-17 04:00:49.667040, HK Weekend
2022-09-17 04:10:19.680643, HK Weekend
2022-09-17 04:10:49.681359, HK Weekend
2022-09-17 04:20:19.694962, HK Weekend
2022-09-17 04:20:49.695678, HK Weekend
2022-09-17 04:30:19.709281, HK Weekend
2022-09-17 04:30:49.709997, HK Weekend
2022-09-17 04:40:19.723600, HK Weekend
2022-09-17 04:40:49.724316, HK Weekend
2022-09-17 04:50:19.737919, HK Weekend
2022-09-17 04:50:49.738635, HK Weekend
2022-09-17 05:00:19.752238, HK Weekend
2022-09-17 05:00:49.752954, HK Weekend
2022-09-17 05:10:19.766556, HK Weekend
2022-09-17 05:10:49.767272, HK Weekend
2022-09-17 05:20:19.780875, HK Weekend
2022-09-17 05:20:49.781591, HK Weekend
2022-09-17 05:30:19.795194, HK Weekend
2022-09-17 05:30:49.795910, HK Weekend
2022-09-17 05:40:19.809513, HK Weekend
2022-09-17 05:40:49.810229, HK Weekend
2022-09-17 05:50:19.823832, HK Weekend
2022-09-17 05:50:49.824548, HK Weekend
